ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
210,SZ-AAP/W-AA165.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Romain Rolland und der Ruhm.,,,,,NFrPresse,"Rolland, Romain",20/III. 1914.,,,1914-03-20,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 20. 3. 1914","Rolland, Romain",http://d-nb.info/gnd/118602330,"Johann Christof, Berlin: Rütten & Loening, 1922",https://d-nb.info/560835604,http://d-nb.info/gnd/1047605287,,,
211,SZ-AAP/W-AA165.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Romain Rollands neuer Roman.,,,,,,"Rolland, Romain",,2. 12. 1923,,1923-12-02,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 2. 12. 1923","Rolland, Romain",http://d-nb.info/gnd/118602330,"Annette et Sylvie, Paris: Ollendorff, 1922 (L'Âme enchantée, Bd. 1)",,http://d-nb.info/gnd/1047605287,,,
212,SZ-AAP/W-AA165.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,,Romain Rolland,,,,"Aufsatz eingesandt an Cranbrook-School, Michigan 25 IV 1930","Rolland, Romain",25. IV 1930,,,1930-04-25,ger,"Typoskript, 2 Blatt, korrigiert",,Seite 2,,,,"Bleistift, schwarze Tinte, violette Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Rolland, Romain",http://d-nb.info/gnd/118602330,,,http://d-nb.info/gnd/1047605287,,,
213,SZ-AAP/W-AA165.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Romain Rolland. Zum 70. Geburtstag,,,,,,"Rolland, Romain",,Januar 1936,,1936-01,ger,"Typoskript, 5 Blatt, korrigiert",,Seite II bis V,,,,"Schwarze Tinte, violette Tinte, roter Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Rolland, Romain",http://d-nb.info/gnd/118602330,,,http://d-nb.info/gnd/1047605287,"Text später auf Deutsch abgedruckt als ""Dank an Romain Rolland"" in Pester Lloyd, Budapest (26. Januar 1936) und in französischer Übersetzung von Alzir Hella als ""Reconnaissance"" in Vendredi, (24. Januar 1936).",,
214,SZ-AAP/W-AA165.6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Romain Rolland. Zum 70. Geburtstag,,,,,,"Rolland, Romain",,Januar 1936,,1936-01,ger,"Typoskript, 6 Blatt, korrigiert",,Seite II bis VI,,,,Schwarze Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Rolland, Romain",http://d-nb.info/gnd/118602330,,,http://d-nb.info/gnd/1047605287,"Text später auf Deutsch abgedruckt als ""Dank an Romain Rolland"" in Pester Lloyd, Budapest (26. Januar 1936) und in französischer Übersetzung von Alzir Hella als ""Reconnaissance"" in Vendredi, (24. Januar 1936).",,
215,SZ-AAP/W-AA166.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Romane, Zwei historische",,,,,,"Romane, Zwei historische",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Friedenthal, Richard; Mann, Klaus",http://d-nb.info/gnd/118535579; http://d-nb.info/gnd/118577158,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Zwei historische Romane""",,
216,SZ-AAP/W-AA166.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Zwei historische Romane. Richard Friedenthal: Der Eroberer, Klaus Mann: Alexandra",,,,,1929,"Romane, Zwei historische",1929,,,1929,ger,"Typoskript, 4 Blatt, korrigiert",,Seite 2 bis 4,,,,"Violette Tinte, rote Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Friedenthal, Richard; Mann, Klaus",http://d-nb.info/gnd/118535579; http://d-nb.info/gnd/118577158,"Der Eroberer. Ein Cortes-Roman, Leipzig: Insel-Verlag, 1929; Alexander. Roman der Utopie, Berlin: S. Fischer, 1929",https://d-nb.info/57473161X; https://d-nb.info/574985115,http://d-nb.info/gnd/1047605287,,,
217,SZ-AAP/W-AA167.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rosegger, Peter",,,,,,"Rosegger, Peter",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rosegger, Peter",http://d-nb.info/gnd/118602667,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Peter Rosegger""",,
218,SZ-AAP/W-AA167.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der alte Heimgärtner.,,,,,NFrPr,"Rosegger, Peter",23/X 17,,,1917-10-23,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 23. 10. 1917","Rosegger, Peter",http://d-nb.info/gnd/118602667,,,http://d-nb.info/gnd/1047605287,,,
219,SZ-AAP/W-AA167.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Rieger, Erwin",http://d-nb.info/gnd/116538597,Erwin Rieger,† Peter Rosegger.,,,,,,"Rosegger, Peter",27. VI. 18,,,1918-06-27,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Bleistift,,Basel,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"National-Zeitung, Basel, 27. 6. 1918","Rosegger, Peter",http://d-nb.info/gnd/118602667,,,http://d-nb.info/gnd/1047605287,,,
220,SZ-AAP/W-AA168.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Roth, Josef",,,,,,"Roth, Josef",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Roth, Joseph",http://d-nb.info/gnd/118603140,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Josef Roth | Rechts und links""",,
221,SZ-AAP/W-AA168.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Josef Roth: ""Rechts und Links"".",,,,,,"Roth, Josef",,1929,,1929,ger,"Typoskript, 4 Blatt, korrigiert",,Seite 2 bis 4,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Roth, Joseph",http://d-nb.info/gnd/118603140,"Rechts und links, Berlin: Gustav Kiepenheuer, 1929",https://d-nb.info/575905093,http://d-nb.info/gnd/1047605287,"Später veröffentlicht im Berliner Tageblatt, Berlin (7. 12. 1929)",,
222,SZ-AAP/W-AA168.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Ein Hiob von heute.,,,,,N. F. Presse,"Roth, Josef",12. Oktober 1930,,,1930-10-12,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Schwarze Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 12. 10. 1930","Roth, Joseph",http://d-nb.info/gnd/118603140,"Hiob, Berlin: Gustav Kiepenheuer, 1930",https://d-nb.info/gnd/4319450-3,http://d-nb.info/gnd/1047605287,,,
223,SZ-AAP/W-AA168.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Hommage a Joseph Roth,,,,,"Modeste offrance de la traductrice au grand écrivain ""international"", mais de ""langue allemande"". Gracia Ascoli","Roth, Josef",Juillet 1939,,,1939-07,frz,"Typoskript, 16 Blatt, korrigiert",,Seite 2 bis 16,,,,Schwarze Tinte,,London,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Roth, Joseph; Ascoli, Gracia",http://d-nb.info/gnd/118603140; http://d-nb.info/gnd/127371354,,,http://d-nb.info/gnd/1047605287,,,
224,SZ-AAP/W-AA168.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Joseph Roth,,,,,für Sunday Times,"Roth, Josef",1939,,,1939,eng,"Typoskript, 2 Blatt",,,,,,"Bleistift, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Roth, Joseph",http://d-nb.info/gnd/118603140,,,http://d-nb.info/gnd/1047605287,"Später veröffentlicht in Sunday Times, London (28. 5. 1939)",,
225,SZ-AAP/W-AA168.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Abschiedsrede,,,,,,"Roth, Josef",1. Juli 1939,,,1939-07-01,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 2,,,,,,Paris,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Österreichische Post, Paris, 1. 7. 1939","Roth, Joseph",http://d-nb.info/gnd/118603140,,,http://d-nb.info/gnd/1047605287,,,
226,SZ-AAP/W-AA168.6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Josef Roth,,,,,Eigener Vortrag (complett) und Notizen für weiteren Ausbau,"Roth, Josef",,,,,ger,"Manuskript, 1 Blatt",,,,,,Blauer Buntstift,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Roth, Joseph",http://d-nb.info/gnd/118603140,,,http://d-nb.info/gnd/1047605287,Vortrag und Notizen sind nicht erhalten.,,
227,SZ-AAP/W-AA169.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rousseau, Jean Jacques",,,,,,"Rousseau, Jean Jacques",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rousseau, Jean-Jacques",http://d-nb.info/gnd/118603426,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Montmartrefest s Frankreich""",,
228,SZ-AAP/W-AA169.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Jean Jacques Rousseau. Zu seinem 150. Todestag am 2. Juli,,,,,,"Rousseau, Jean Jacques",28. Juni 1928.,,,1928-06-28,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Schwarze Tinte,,Lübeck,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Lübecker Volksbote, Lübeck, 28. 6. 1928","Rousseau, Jean-Jacques",http://d-nb.info/gnd/118603426,,,http://d-nb.info/gnd/1047605287,,,
229,SZ-AAP/W-AA170.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Rückkehr zum Märchen,,,,,,Rückkehr zum Märchen,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Märchen | Titel | Rückkehr zum Märchen""",,
230,SZ-AAP/W-AA170.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Rückkehr zum Märchen.,,,,,NFP.,Rückkehr zum Märchen,14/XII. 12.,,,1912-12-14,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 14. 12. 1912",,,,,http://d-nb.info/gnd/1047605287,,,
231,SZ-AAP/W-AA171.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Sammlung Morrison, Die",,,,,,"Sammlung Morrison, Die",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Morrison, Alfred",http://d-nb.info/gnd/124663680,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Die Sammlung Morrison""",,
232,SZ-AAP/W-AA171.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Rieger, Erwin",http://d-nb.info/gnd/116538597,Erwin Rieger,Die Sammlung Morrison.,,,,,,"Sammlung Morrison, Die",6. IX. 1917.,,,1917-09-06,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Vossische Zeitung, Berlin, 6. 11. 1917","Morrison, Alfred",http://d-nb.info/gnd/124663680,,,http://d-nb.info/gnd/1047605287,,,
233,SZ-AAP/W-AA172.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Shakespeares ""Sturm"", Prolog und Epilog zu",,,,,,"Shakespeares ""Sturm"", Prolog und Epilog zu",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Shakespeare, William",http://d-nb.info/gnd/118613723,The Tempest (1611),https://d-nb.info/gnd/4099371-1,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Ein Tag aus dem Leben Tolstois""",,
234,SZ-AAP/W-AA172.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Prolog und Epilog zu Shakespeares ""Sturm"". Quasi una Phantasia",,,,,,"Shakespeares ""Sturm"", Prolog und Epilog zu",,1918,,1918,ger,"Typoskript, 5 Blatt, korrigiert",,Seite 2 bis 5,,,,Schwarze Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Shakespeare, William",http://d-nb.info/gnd/118613723,The Tempest (1611),https://d-nb.info/gnd/4099371-1,http://d-nb.info/gnd/1047605287,"Veröffentlicht in Marsyas, Berlin (Januar/Februar 1918)",,
235,SZ-AAP/W-AA172.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"""An Caliban"". Epilog zu Shakespeares ""Sturm"".",,,,,,"Shakespeares ""Sturm"", Prolog und Epilog zu",8. Dezember 1932,,,1932-12-08,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 13 und 14,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Wiener Tag, Wien, 8. 12. 1932","Shakespeare, William",http://d-nb.info/gnd/118613723,The Tempest (1611),https://d-nb.info/gnd/4099371-1,http://d-nb.info/gnd/1047605287,,,
236,SZ-AAP/W-AA173.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Sorglosen, Bei den",,,,,,"Sorglosen, bei den",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Bildnis Tolstois"". Ursprünglich beiliegender Aufsatz fehlt.",,
237,SZ-AAP/W-AA174.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Spanien,,,,,,Spanien,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
238,SZ-AAP/W-AA174.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,In König Titurels Schloss.,,,,,,Spanien,28. III. 1906,,,1906-03-28,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 28. 3. 1906",,,,,http://d-nb.info/gnd/1047605287,,,
239,SZ-AAP/W-AA174.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Frühling in Sevilla.,,,,,,Spanien,2. IV. 1908.,,,1908-04-02,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Leipziger Tageblatt, Leipzig, 2. 4. 1908",,,,,http://d-nb.info/gnd/1047605287,,,
240,SZ-AAP/W-AA174.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Spanische Bettler.,,,,,,Spanien,,14. 1. 1909,,1909-01-14,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Leipziger Tageblatt, Leipzig, 14. 1. 1909",,,,,http://d-nb.info/gnd/1047605287,,,
241,SZ-AAP/W-AA175.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Specht, Richard",,,,,,"Specht, Richard",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,http://d-nb.info/gnd/1047605287,,,
242,SZ-AAP/W-AA175.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Bildnis eines Jüngeren. (Richard Spechts Werfel-Biographie.),,,,,,"Specht, Richard",,23. 6. 1926,,1926-06-23,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 23. 6. 1926","Specht, Richard; Werfel, Franz",http://d-nb.info/gnd/117481947; http://d-nb.info/gnd/118631373,"Franz Werfel. Versuch einer Zeitspiegelung, Wien: Zsolnay, 1926",https://d-nb.info/576210110,http://d-nb.info/gnd/1047605287,,,
243,SZ-AAP/W-AA175.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,,Richard Specht,,,,,"Specht, Richard",,1929,,1929,ger,"Typoskript, 3 Blatt, korrigiert",,Seite 2 und 3,,,,Schwarze Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,http://d-nb.info/gnd/1047605287,"Veröffentlicht als Nachwort zu Richard Specht: Florestan Kestners Erfolg, Leipzig: Reclam, 1929",,
244,SZ-AAP/W-AA176.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579,"Erwin Rieger, Richard Friedenthal, Unbekannt","Suttner, Berta v.",,,,,fehlt 12. 11. 59 RF,"Suttner, Berta v.",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, rote Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Suttner, Bertha von",http://d-nb.info/gnd/118620126,,,http://d-nb.info/gnd/1047605287,Ursprünglich beiliegender Aufsatz fehlt.,,
245,SZ-AAP/W-AA177.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Scharlach,,,,,,Scharlach,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Sommernovellette | Leipz. Tgbl. 17. Okt. 1909""",,
246,SZ-AAP/W-AA177.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Scharlach.,,,https://d-nb.info/gnd/1124027114,,"Separatabdruck aus der ""Österreichischen Rundschau"".",Scharlach,,1. 6. 1908,,1908-06-01,ger,"Separatdruck, 1 Heft",,Seite 337 bis 432,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Österreichische Rundschau, Wien, 1. 6. 1908",,,,,http://d-nb.info/gnd/1047605287,,,
247,SZ-AAP/W-AA178.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Schlaf, Johannes",,,,,,"Schlaf, Johannes",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Schlaf, Johannes",http://d-nb.info/gnd/118607871,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Johannes Schlaf""",,
248,SZ-AAP/W-AA178.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Johannes Schlaf.,,,,,,"Schlaf, Johannes",,15. 7. 1902,,1902-07-15,ger,"Zeitungsausschnitt, 3 Blatt",,Seite 1377 bis 1388,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Literarische Echo, Berlin, 15. 7. 1902","Schlaf, Johannes",http://d-nb.info/gnd/118607871,,,http://d-nb.info/gnd/1047605287,,,
249,SZ-AAP/W-AA178.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Johannes Schlaf: Peter Boies Freite.,,,,,,"Schlaf, Johannes",3./I. 1903.,,,1903-01-03,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Hamburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Hamburger Zeitung, Hamburg, 3. 1. 1903","Schlaf, Johannes",http://d-nb.info/gnd/118607871,"Peter Boies Freite, Leipzig: Hermann Seemann, 1902",,http://d-nb.info/gnd/1047605287,,,
250,SZ-AAP/W-AA179.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Schmidtbonn, Wilhelm",,,,,,"Schmidtbonn, Wilhelm",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Schmidtbonn, Wilhelm",http://d-nb.info/gnd/118609009,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Wilhelm Schmidtbonn""",,
251,SZ-AAP/W-AA179.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Neue Legenden.,,,,,,"Schmidtbonn, Wilhelm",6-MRZ-1914,,,1914-03-06,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Vossische Zeitung, Berlin, 6. 3. 1914","Schmidtbonn, Wilhelm",http://d-nb.info/gnd/118609009,"Der Wunderbaum. 23 Legenden, Berlin: Egon Fleischel, 1913",https://d-nb.info/362518874,http://d-nb.info/gnd/1047605287,"Mit angehängter Quellenangabe: Zeitungsausschnittdienst ""Observer"", Wien",,
252,SZ-AAP/W-AA179.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Mein Freund Dei. Schmidtbonns neues Buch,,,,,M. N. N.,"Schmidtbonn, Wilhelm",3. Juli,3. 7. 1928,,1928-07-03,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Münchner Neueste Nachrichten, München, 3. 7. 1928","Schmidtbonn, Wilhelm",http://d-nb.info/gnd/118609009,"Mein Freund Dei. Geschichten einer unterbrochenen Weltreise, Stuttgart: Deutsche Verlags-Anstalt, 1928",https://d-nb.info/577419714,http://d-nb.info/gnd/1047605287,,,
253,SZ-AAP/W-AA179.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Wilhelm Schmidtbonn,,,,,,"Schmidtbonn, Wilhelm",,,,,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 46,,,,,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Programm. Blätter der Münchner Kammerspiele, München, Jg 12 Heft 4","Schmidtbonn, Wilhelm",http://d-nb.info/gnd/118609009,,,http://d-nb.info/gnd/1047605287,,,
254,SZ-AAP/W-AA180.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,Erwin Rieger; Unbekannt,"Schnitzler, Arthur",,,,,,"Schnitzler, Arthur",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Schwarze Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Schnitzler, Arthur",http://d-nb.info/gnd/118609807,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Arthur Schnitzler""",,
255,SZ-AAP/W-AA180.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Schnitzler und die Jugend.,,,,,,"Schnitzler, Arthur",1912,1. 5. 1912,,1912-05-01,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 349 und 350,,,,Schwarze Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Merker, Wien, 1. 5. 1912","Schnitzler, Arthur",http://d-nb.info/gnd/118609807,,,http://d-nb.info/gnd/1047605287,,,
256,SZ-AAP/W-AA180.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Arthur Schnitzler.,,,,,"Prager ""Sozialdemokrat""","Schnitzler, Arthur",,1922,,1922,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Roter Buntstift,,Prag,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,,"Schnitzler, Arthur",http://d-nb.info/gnd/118609807,,,http://d-nb.info/gnd/1047605287,"Der Text ist bis auf den Schlusssatz identisch mit ""Arthur Schnitzler. Zu seinem sechzigsten Geburtstag, 15. Mai 1922"", Die Neue Rundschau, Berlin (Mai 1922).",,
257,SZ-AAP/W-AA180.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Schnitzler, der Oesterreicher.",,,,,N. Wr. Journal,"Schnitzler, Arthur",22.10.31,,,1931-10-22,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,"Violette Tinte, Bleistift",,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 22. 10. 1931","Schnitzler, Arthur",http://d-nb.info/gnd/118609807,,,http://d-nb.info/gnd/1047605287,,,
