PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Lang, Otto",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. II 1932.,3. II 1932.,,,1932-02-03,,,,,GER,"Ansichtspostkarte: ""Ferwall Thal – Patteriol.""","Picture postcard: ""Ferwall Thal – Patteriol.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.104,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absender schreibt seitlich weiter.
,,Lebisch,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,30. 12. 08.,30. 12. 08.,,,1908-12-30,,,,,GER,"Ansichtspostkarte: ""Düsseldorf Kunstakademie""","Picture postcard: ""Düsseldorf Kunstakademie""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.105,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Wien, Kochgasse 8","Absenderadresse seitlich angegeben; Teil der Unterschrift ist verwischt. Lebisch, Franz (unsicher) EHER NICHT!"
,,Leischner,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20/5|27,20/5|27,,,1927-05-20,,,,,GER,"Ansichtspostkarte: ""Gasteinertal. Weidmoserschloss""","Picture postcard:  ""Gasteinertal. Weidmoserschloss""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.106,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Salzburg, Kapuzinerberg 5",Absender hat seitlich weitergeschrieben.
,,Lichtenstein,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. 11. 04.,3. 11. 04.,,,1904-11-03,,,,,GER,"Ansichtspostkarte: ""Café 'Bauer' | Inh. Oscar Bauer | Berlin, W. 64. Unter den Linden (Ecke Friedrichstr.)""","Picture postcard: ""Café 'Bauer' | Inh. Oscar Bauer | Berlin, W. 64. Unter den Linden (Ecke Friedrichstr.)""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.107,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Hegner, Jacques; Busse-Palma, Georg",http://d-nb.info/gnd/118709542; http://d-nb.info/gnd/116038586,Vorname unleserlich,first name illegible,"Paris, 5 rue Victor Massé",Grüße auf der Vorderseite; zwei weitere nicht identifizierte Unterschriften.
,,"Lilien, Ephraim Mose",http://d-nb.info/gnd/116966378,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. IV. 33,29. IV. 33,,,1933-04-29,,,,,GER,"Ansichtspostkarte: ""Budapest | Kilátás a Gellérthegyról a Gellért szálló és fürdovel | Aussicht vom Gellértberg mit Hotel und Sanatorium St Gellért""","Picture postcard: ""Budapest | Kilátás a Gellérthegyról a Gellért szálló és fürdovel | Aussicht vom Gellértberg mit Hotel und Sanatorium St Gellért""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.203,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Salzburg, Kapuzinerberg 5","Vorderseite mit Bleistift beschriftet: ""Budapest""."
,,"Lilien, Ephraim Mose",http://d-nb.info/gnd/116966378,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1906-09-18,18. 9. 06.,,,,GER,"Ansichtspostkarte: ""Braunschweig. Vaterländisches Museum.""","Picture postcard: ""Braunschweig. Vaterländisches Museum.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.288,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Magnus, Helene",http://d-nb.info/gnd/133383911,,,"Wien, Rathausstraße 17","Hauptabsenderin: ""Elsa"". Eine weitere nicht identifizierte Unterschrift. Vorderseite: Braunschweig. Vaterländisches Museum. NEIN das ist das Ehepaar Lilien"
,,"Lorenz, Felix",http://d-nb.info/gnd/117215376,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. 9. 11.,14. 9. 11.,,,1911-09-14,,,,,GER,"Ansichtspostkarte: ""Hotel d'Angleterre | Le café | Copenhague.""","Picture postcard: ""Hotel d'Angleterre | Le café | Copenhague.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.110,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Lothar, Mark",http://d-nb.info/gnd/118729179,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1928-05-01,I. V 28,,,,GER,"Ansichtspostkarte: ""Firenze – Piazza della Signoria e Loggia dei Lanzi""","Picture postcard: ""Firenze – Piazza della Signoria e Loggia dei Lanzi""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.111,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Nera, Corry",http://d-nb.info/gnd/1159406081,,,"Salzburg, Kapuzinerberg 5","Datum am Poststempel schwer leserlich; zweite s Grußwort (""Ebenso"") und Unterschrift: Corry Nera."
,,"Lovrić, Božo",http://d-nb.info/gnd/131889087,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14/V|934,14/V|934,,,1934-05-14,,,,,GER,"Ansichtspostkarte: ""KAMENNÁ KAŠNA Z R. 1497. VLEVO U SPOŘITELNY KOSTEL SV. JANA NEP. Z R. 1750 OD KANKY.""","Picture postcard: ""KAMENNÁ KAŠNA Z R. 1497. VLEVO U SPOŘITELNY KOSTEL SV. JANA NEP. Z R. 1750 OD KANKY.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.112,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Durchgestrichener Kreis auf Karte.
,,"Lucka, Emil",http://d-nb.info/gnd/117261521,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,11. V. 07,11. V. 07,,,1907-05-11,,,,,GER,"Ansichtspostkarte: ""Barcelona Vallcarca""","Picture postcard: ""Barcelona Vallcarca""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.113,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Lucka, Emil",http://d-nb.info/gnd/117261521,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26/6 12,26/6 12,,,1912-06-26,,,,,GER,"Ansichtspostkarte: ""Fex.""","Picture postcard: ""Fex.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.114,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Maass, Joachim",http://d-nb.info/gnd/118575627,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. Mai 32.,24. Mai 32.,,,1932-05-24,,,,,GER,"Ansichtspostkarte: ""Portugal. Cintra. Palacio da Pena.""","Picture postcard: ""Portugal. Cintra. Palacio da Pena.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.115,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Martinet, Marcel",http://d-nb.info/gnd/122298454,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,25 octobre 1922,25 octobre 1922,,,1922-10-25,,,,,FRE,"Ansichtspostkarte: ""Paris – La Chambre des Députés""","Picture postcard: ""Paris – La Chambre des Députés""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.117,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Desprès, Fernand",,,,"Salzburg, Kapuzinerberg 5",Grußwort und Unterschrift von Fernand Desprès. GND=0 https://en.wikipedia.org/wiki/Fernand_Desprès
,,"Mazzucchetti, Lavinia",http://d-nb.info/gnd/119446456,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,Pasqua del 1930,Pasqua del 1930,,,1930-04-21,21. 4. 30,,,,ITA,"Ansichtspostkarte: ""Heidelberg | Das Schloß vom Philosophenweg""","Picture postcard: ""Heidelberg | Das Schloß vom Philosophenweg""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.118,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist gelocht.
,,"Mazzucchetti, Lavinia",http://d-nb.info/gnd/119446456,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6-12-31,6-12-31,,,1931-12-06,,,,,ITA,"Ansichtspostkarte: ""Gressoney – La Trinité – Tramonto a Orsia (m. 1802)""","Picture postcard: ""Gressoney – La Trinité – Tramonto a Orsia (m. 1802)""",blau-schwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.119,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Meckel, Eberhard",http://d-nb.info/gnd/118579827,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12. X. 29.,12. X. 29.,,,1929-10-12,,,,,GER,"Ansichtspostkarte: ""(Tivoli) – Villa d'Este – Prospetto""","Picture postcard: ""(Tivoli) – Villa d'Este – Prospetto""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.120,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Petersen, (Till?)",,,,"Salzburg, Kapuzinerberg 5",Zusätzliches Grußwort und Unterschrift von Till (?) Petersen (nicht identifiziert).
,,"Meyer, Fritz",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. VIII. 24.,7. VIII. 24.,,,1924-08-07,,,,,GER,Ansichtspostkarte: [Pontresina],Picture postcard: [Pontresina],schwarze und blaue Tinte,black and blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.121,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Meyer, Lotte; Fleischer, Victor; Sagan, Leontine ", ; http://d-nb.info/gnd/116601485; http://d-nb.info/gnd/116743581,,,"Salzburg, Kapuzinerberg 5","Weitere Grußworte und Unterschriften von Victor Fleischer und Lotte Meyer. Vierte Unterschrift (""Ihre L. G.?"") nicht identifiziert. = L. S. Leontine Sagan, Fleischers Frau"
,,"Meyer, Richard M.",http://d-nb.info/gnd/119034751,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,11. 6. 12,11. 6. 12,,,1912-06-11,,,,,GER,"Ansichtspostkarte: ""Berlin. Königl. Schloss""","Picture postcard: ""Berlin. Königl. Schloss""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.122,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Durchgestrichener Kreis bei Adresse.
,,"Meyerowitz, Kurt",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3./III. 1929.,3./III. 1929.,,,1929-03-03,,,,,GER,"Ansichtspostkarte: ""Leipzig. Völkerschlachtdenkmal.""","Picture postcard: ""Leipzig. Völkerschlachtdenkmal.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.123,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Ovaler Kreis bei Adresse.
,,"Mickoleit, Kurt",http://d-nb.info/gnd/117026565,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. 7. 08.,23. 7. 08.,,,1908-07-23,,,,,GER,"Ansichtspostkarte: ""Warnicken Wolfsschlucht""","Picture postcard: ""Warnicken Wolfsschlucht""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.124,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Milićević, Nika",http://d-nb.info/gnd/1309259283,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1927-06-04,4. 6. 27.,,,,GER,"Ansichtspostkarte: ""Holzminden a. d. Weser – Haarmanndenkmal""","Picture postcard: ""Holzminden a. d. Weser – Haarmanndenkmal""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.220,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Datum vom Poststempel entnommen. Bild auf Vorderseite: ""Holzminden a. d. Weser - Haarmanndenkmal""."
,,Müller,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,1906,1906,1906,,,,,GER,"Ansichtspostkarte: ""Neuhaus bei Weissenbach a. d. Tr., N.-Oe.""","Picture postcard: ""Neuhaus bei Weissenbach a. d. Tr., N.-Oe.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.273,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,Nachträgliche Datierung auf Vorderseite falsch; Vorname unleserlich,Subsequent dating on recto incorrect; first name illegible,"London, 84 Kensington Gardens Square","Vorderseite: Neuhaus bei Weissenbach a. d. Jr., N. - Oe., auf der Vorderseite vermutlich falsch datiert"
,,"Müller Einigen, Hans",http://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28. 12.12.,28. 12.12.,,,1912-12-28,,,,,GER,"Ansichtspostkarte: ""München. Marienplatz m. Mariensäule u. altes Rathaus.""","Picture postcard: ""München. Marienplatz m. Mariensäule u. altes Rathaus.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.126,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Tinte teilweise etwas verwischt; Absender schreibt auf Vorderseite weiter.
,,"Müller Einigen, Hans",http://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-03-25,25. 3. 13,,,,GER,"Ansichtspostkarte: ""Lago di Garda. Gardone-Riviera.""","Picture postcard: ""Lago di Garda. Gardone-Riviera.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.127,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Tinte teilweise etwas ausgebleicht, Adrese etwas verwischt."
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,11/8. 07.,11/8. 07.,,,1907-08-11,,,,,GER,"Ansichtspostkarte: ""Ostende. La Gare.""","AnsPicture postcard: ""Ostende. La Gare.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.144,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absender schreibt auf Vorderseite weiter.  
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,15./4 10,15./4 10,,,1910-04-15,,,,,GER,"Ansichtspostkarte: ""Lago di Como – Bellagio – Panorama""","Picture postcard: ""Lago di Como – Bellagio – Panorama""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.145,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. 1. 11.,24. 1. 11.,,,1911-01-24,,,,,GER,"Ansichtspostkarte: ""Halle Moritzburg.""","Picture postcard: ""Halle Moritzburg.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.146,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4./8. 11.,4./8. 11.,,,1911-08-04,,,,,GER,"Ansichtspostkarte: ""Franzensbad – Stefan-Strasse""","Picture postcard: ""Franzensbad – Stefan-Strasse""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.147,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31./8. 11.,31./8. 11.,,,1911-08-31,,,,,GER,"Ansichtspostkarte: ""Cortina d'Ampezzo (1219 m) gegen Col Rosà (2164 m) und Tofana (3241 m)""","Picture postcard: ""Cortina d'Ampezzo (1219 m) gegen Col Rosà (2164 m) und Tofana (3241 m)""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.148,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absender schreibt auf Vorderseite weiter.  
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-12-29,29. DEZ. 13.,,,,GER,"Ansichtspostkarte: ""Walhalla bei Donaustauf""","Picture postcard: ""Walhalla bei Donaustauf""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.149,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Poststempel von einem Tag später (29.12.1913).
,,"Müller Einigen, Hans",https://d-nb.info/gnd/119054329,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. 8. (?),14. 8. (?),,,,,,,,GER,"Ansichtspostkarte: ""Gries bei Bozen u. der Rosengarten. Erzherzog Heinrich-Promenade.""","Picture postcard: ""Gries bei Bozen u. der Rosengarten. Erzherzog Heinrich-Promenade.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.150,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Lothar, Ernst; Mary Helene Sachs des Renaudes",https://d-nb.info/gnd/118574523; ,Jahr unbekannt,Year unknown,"Paris, Hotel Beaujolais, 15 rue de Beaujolais","Weitere Absender: Lothar (nicht identifiziert) und ""Mary des Renandes"" (Lesung unsicher, nicht identifiziert) = https://www.geni.com/people/Mary-Helene-Müller/6000000013279365977 GND=0"
,,"Neumann, Marianne",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. IX. 28,14. IX. 28,,,1928-09-14,,,,,GER,"Ansichtspostkarte: ""Juan-les-Pins – Route du Cap – Chalet Henri IV""","Picture postcard: ""Juan-les-Pins – Route du Cap – Chalet Henri IV""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.128,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Neumann, Alfred",,,,"Salzburg, Kapuzinerberg 5",Zweites Grußwort und Unterschrift von Alfred Neumann IST ABER NICHT DIESER  A.N.: http://d-nb.info/gnd/118587250
,,"Oppenheimer, Max",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. 5. 07.,6. 5. 07.,,,1907-05-06,,,,,GER,"Ansichtspostkarte: ""Gruss aus der Hauptrestauration im Baumgarten!""","Picture postcard: ""Gruss aus der Hauptrestauration im Baumgarten!""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.129,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Hufnagl, ?; Unbekannt/Unidentified (?, Max)",,,,"Wien, Kochgasse 8",Unsicher bei Datum am Poststempel;
,,"Osawa, Akira",http://d-nb.info/gnd/140733671,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,9 Nov. 1920,9 Nov. 1920,,,1920-11-09,,,,,GER,"Ansichtspostkarte: ""Isola de Capri – Panorama col monte Solaro""","Picture postcard: ""Isola de Capri – Panorama col monte Solaro""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.130,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Ränder der Karte sind gewellt.
,,"Osawa, Akira",http://d-nb.info/gnd/140733671,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,25. Februar 1921,25. Februar 1921,,,1921-02-25,,,,,GER,"Ansichtspostkarte: ""Zürich von der Universität aus""","Picture postcard: ""Zürich von der Universität aus""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.131,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Auf der linken Seite der Karte fehlt ein Stück, somit auch vom Text."
